manufacturer,GPU,releaseYear,memSize,memBusWidth,gpuClock,memClock,tmu,rop,igp,bus,memType,gpuChip,G3Dmark,G2Dmark,testDate,category
NVIDIA,GeForce MX550,2022,2.0,64.0,1065,1500.0,32,16,No,PCIe 4.0 x8,GDDR6,TU117,5090,424,2022,Unknown
NVIDIA,GeForce RTX 3090 Ti,2022,24.0,384.0,1560,1313.0,336,112,No,PCIe 4.0 x16,GDDR6X,GA102,29094,1117,2022,Unknown
AMD,Radeon RX 6400,2022,4.0,64.0,1923,2000.0,48,32,No,PCIe 4.0 x4,GDDR6,Navi 24,6958,899,2022,Unknown
AMD,Radeon RX 6500 XT,2022,4.0,64.0,2310,2248.0,64,32,No,PCIe 4.0 x4,GDDR6,Navi 24,9445,910,2022,Unknown
AMD,Radeon RX 6700S,2022,8.0,128.0,1700,1750.0,112,64,No,PCIe 4.0 x8,GDDR6,Navi 23,11989,829,2022,Unknown
NVIDIA,GeForce RTX 3060,2021,12.0,192.0,1320,1875.0,112,48,No,PCIe 4.0 x16,GDDR6,GA106,16958,951,2021,Desktop
NVIDIA,GeForce RTX 3070 Ti,2021,8.0,256.0,1575,1188.0,192,96,No,PCIe 4.0 x16,GDDR6X,GA104,23367,1003,2021,Desktop
NVIDIA,GeForce RTX 3080 Ti,2021,12.0,384.0,1365,1188.0,320,112,No,PCIe 4.0 x16,GDDR6X,GA102,26887,1031,2021,Desktop
AMD,Radeon RX 6600,2021,8.0,128.0,1626,1750.0,112,64,No,PCIe 4.0 x8,GDDR6,Navi 23,13881,945,2021,Unknown
AMD,Radeon RX 6600 XT,2021,8.0,128.0,1968,2000.0,128,64,No,PCIe 4.0 x8,GDDR6,Navi 23,15853,1003,2021,Desktop
AMD,Radeon RX 6600M,2021,8.0,128.0,2068,1750.0,112,64,No,PCIe 4.0 x8,GDDR6,Navi 23,9094,698,2021,Unknown
AMD,Radeon RX 6700 XT,2021,12.0,192.0,2321,2000.0,160,64,No,PCIe 4.0 x16,GDDR6,Navi 22,18993,1014,2021,Desktop
AMD,Radeon RX 6700M,2021,10.0,160.0,1489,2000.0,144,64,No,PCIe 4.0 x16,GDDR6,Navi 22,11499,550,2021,Unknown
AMD,Radeon RX 6800M,2021,12.0,192.0,2116,2000.0,160,64,No,PCIe 4.0 x16,GDDR6,Navi 22,9012,643,2021,Mobile
NVIDIA,RTX A2000,2021,6.0,192.0,562,1500.0,104,48,No,PCIe 4.0 x16,GDDR6,GA106,13128,928,2021,Unknown
NVIDIA,RTX A4000,2021,16.0,256.0,735,1750.0,192,96,No,PCIe 4.0 x16,GDDR6,GA104,18988,938,2021,Workstation
NVIDIA,RTX A4500,2021,20.0,320.0,1050,2000.0,224,96,No,PCIe 4.0 x16,GDDR6,GA102,21546,892,2022,Unknown
NVIDIA,RTX A5000,2021,24.0,384.0,1170,2000.0,256,96,No,PCIe 4.0 x16,GDDR6,GA102,22867,984,2021,Workstation
NVIDIA,T1000,2021,4.0,128.0,1065,1250.0,56,32,No,PCIe 3.0 x16,GDDR6,TU117,7829,831,2021,Unknown
NVIDIA,T400,2021,2.0,64.0,420,1250.0,24,16,No,PCIe 3.0 x16,GDDR6,TU117,3627,561,2021,Unknown
NVIDIA,T600,2021,4.0,128.0,735,1250.0,40,32,No,PCIe 3.0 x16,GDDR6,TU117,6509,738,2021,Unknown
NVIDIA,GeForce MX330,2020,2.0,64.0,1531,1752.0,24,16,No,PCIe 3.0 x4,GDDR5,GP108,2547,234,2020,Unknown
NVIDIA,GeForce MX350,2020,2.0,64.0,1354,1752.0,32,16,No,PCIe 3.0 x4,GDDR5,GP107,2855,243,2020,Unknown
NVIDIA,GeForce RTX 3060 Ti,2020,8.0,256.0,1410,1750.0,152,80,No,PCIe 4.0 x16,GDDR6,GA104,20206,961,2020,Desktop
NVIDIA,GeForce RTX 3070,2020,8.0,256.0,1500,1750.0,184,96,No,PCIe 4.0 x16,GDDR6,GA104,22093,969,2020,Desktop
NVIDIA,GeForce RTX 3080,2020,10.0,320.0,1440,1188.0,272,96,No,PCIe 4.0 x16,GDDR6X,GA102,24853,1003,2020,Desktop
NVIDIA,GeForce RTX 3090,2020,24.0,384.0,1395,1219.0,328,112,No,PCIe 4.0 x16,GDDR6X,GA102,26395,999,2020,Desktop
AMD,Radeon Pro 5300,2020,4.0,128.0,1000,1750.0,80,32,No,PCIe 4.0 x8,GDDR6,Navi 14,7522,663,2020,Unknown
AMD,Radeon Pro 5500 XT,2020,8.0,128.0,1187,1750.0,96,32,No,PCIe 4.0 x8,GDDR6,Navi 14,8298,628,2020,Unknown
AMD,Radeon Pro 5600M,2020,8.0,2048.0,1000,770.0,160,64,No,PCIe 4.0 x16,HBM2,Navi 12,10200,702,2020,Mobile
AMD,Radeon Pro 5700,2020,8.0,256.0,1243,1500.0,144,64,No,PCIe 4.0 x16,GDDR6,Navi 10,11844,829,2020,Desktop
AMD,Radeon Pro 5700 XT,2020,16.0,256.0,1243,1500.0,160,64,No,PCIe 4.0 x16,GDDR6,Navi 10,12537,831,2020,Desktop
AMD,Radeon Pro VII,2020,16.0,4096.0,1400,1000.0,240,64,No,PCIe 4.0 x16,HBM2,Vega 20,16853,720,2020,Unknown
AMD,Radeon Pro W5500,2020,8.0,128.0,1744,1750.0,88,32,No,PCIe 4.0 x8,GDDR6,Navi 14,9269,896,2020,Desktop
AMD,Radeon Pro W5500M,2020,4.0,128.0,1000,1750.0,88,32,No,PCIe 4.0 x8,GDDR6,Navi 14,2010,533,2020,Mobile
AMD,Radeon RX 5300,2020,3.0,96.0,1327,1750.0,88,32,No,PCIe 4.0 x8,GDDR6,Navi 14,7611,854,2021,Desktop
AMD,Radeon RX 5600 XT,2020,6.0,192.0,1130,1500.0,144,64,No,PCIe 4.0 x16,GDDR6,Navi 10,13836,914,2020,Desktop
AMD,Radeon RX 5600M,2020,6.0,192.0,1035,1500.0,144,64,No,PCIe 4.0 x16,GDDR6,Navi 10,7157,537,2020,Mobile
AMD,Radeon RX 6800,2020,16.0,256.0,1700,2000.0,240,96,No,PCIe 4.0 x16,GDDR6,Navi 21,20667,1030,2020,Desktop
AMD,Radeon RX 6800 XT,2020,16.0,256.0,1825,2000.0,288,128,No,PCIe 4.0 x16,GDDR6,Navi 21,23364,1078,2020,Desktop
AMD,Radeon RX 6900 XT,2020,16.0,256.0,1825,2000.0,320,128,No,PCIe 4.0 x16,GDDR6,Navi 21,25458,1102,2020,Desktop
NVIDIA,RTX A6000,2020,48.0,384.0,1410,2000.0,336,112,No,PCIe 4.0 x16,GDDR6,GA102,22122,832,2021,Workstation
NVIDIA,GeForce GTX 1650,2019,4.0,128.0,1485,2001.0,56,32,No,PCIe 3.0 x16,GDDR5,TU117,7807,592,2019,Desktop
NVIDIA,GeForce GTX 1650 SUPER,2019,4.0,128.0,1530,1500.0,80,32,No,PCIe 3.0 x16,GDDR6,TU116,10032,761,2019,Desktop
NVIDIA,GeForce GTX 1660,2019,6.0,192.0,1530,2001.0,88,48,No,PCIe 3.0 x16,GDDR5,TU116,11695,796,2019,Desktop
NVIDIA,GeForce GTX 1660 SUPER,2019,6.0,192.0,1530,1750.0,88,48,No,PCIe 3.0 x16,GDDR6,TU116,12732,823,2019,Desktop
NVIDIA,GeForce GTX 1660 Ti,2019,6.0,192.0,1500,1500.0,96,48,No,PCIe 3.0 x16,GDDR6,TU116,11794,702,2019,Desktop
NVIDIA,GeForce MX230,2019,2.0,64.0,1519,1502.0,16,16,No,PCIe 3.0 x4,GDDR5,GP108,1884,219,2019,Unknown
NVIDIA,GeForce MX250,2019,2.0,64.0,1519,1502.0,24,16,No,PCIe 3.0 x4,GDDR5,GP108,2515,250,2019,Unknown
NVIDIA,GeForce RTX 2060,2019,6.0,192.0,1365,1750.0,120,48,No,PCIe 3.0 x16,GDDR6,TU106,13953,752,2019,Desktop
NVIDIA,GeForce RTX 2060 SUPER,2019,8.0,256.0,1470,1750.0,136,64,No,PCIe 3.0 x16,GDDR6,TU106,16514,881,2019,Desktop
NVIDIA,GeForce RTX 2070 SUPER,2019,8.0,256.0,1605,1750.0,160,64,No,PCIe 3.0 x16,GDDR6,TU104,18168,896,2019,Desktop
NVIDIA,GeForce RTX 2080 SUPER,2019,8.0,256.0,1650,1937.0,192,64,No,PCIe 3.0 x16,GDDR6,TU104,19519,934,2019,Desktop
NVIDIA,Quadro P2200,2019,5.0,160.0,1000,1251.0,80,40,No,PCIe 3.0 x16,GDDR5X,GP106,9486,971,2019,Workstation
AMD,Radeon 550X,2019,2.0,128.0,1082,1750.0,32,16,No,PCIe 3.0 x8,GDDR5,Lexa,1430,273,2019,Unknown
AMD,Radeon Pro 5300M,2019,4.0,128.0,1000,1500.0,80,32,No,PCIe 4.0 x8,GDDR6,Navi 14,5840,636,2019,Unknown
AMD,Radeon Pro 5500M,2019,8.0,128.0,1000,1500.0,96,32,No,PCIe 4.0 x8,GDDR6,Navi 14,6763,682,2019,Unknown
AMD,Radeon Pro 580X,2019,8.0,256.0,1100,1710.0,144,32,No,PCIe 3.0 x16,GDDR5,Ellesmere,7540,698,2019,Desktop
AMD,Radeon Pro Vega 48,2019,8.0,2048.0,1200,786.0,192,64,No,PCIe 3.0 x16,HBM2,Vega 10,11504,821,2019,Unknown
AMD,Radeon Pro Vega 64X,2019,16.0,2048.0,1250,1000.0,256,64,No,PCIe 3.0 x16,HBM2,Vega 10,14630,948,2021,Unknown
AMD,Radeon Pro Vega II,2019,32.0,4096.0,1574,806.0,256,64,No,PCIe 3.0 x16,HBM2,Vega 20,14738,827,2020,Unknown
AMD,Radeon Pro W5700,2019,8.0,256.0,1400,1750.0,144,64,No,PCIe 4.0 x16,GDDR6,Navi 10,15085,908,2020,Desktop
